ticker,display_name,handle,post_text,comments,likes,views
BEAN,chefderek.eth,chef_derek1,Every $UFD bean counter soon:,13,157,2300
BEAN,bean,_douya,"#LoveandDeepspace #セイヤ #Xavier #沈星回 
misty silhouette",37,18000,189000
BEAN,tastytrade,tastytrade,"TOOLS, INSIGHTS, AND TECHNOLOGY BUILT FOR TODAY’S ACTIVE TRADER",0,978,10000
BEAN,tommy,britreligion,the cutest bean,2,544,13000
CALEB,ERI ‧₊˚,qierinzel,i live for zayne caleb beef,48,33000,313000
CALEB,Chesa,Niachesa,"Sorry to the people who hate Caleb's EN voice because y'all missing out, the rasp in his voice did things to me",72,4300,80000
CALEB,Hira ෆ,hirxav,#XAVIER & #CALEB : obsessed with her.,9,4400,42000
CALEB,𝓐.,moratobeli,#XAVIER x #CALEB — choose one.,1,2400,42000
Hana,min hana⁷,armys_hana7,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,حنان عيسى 𓂆,hana_n_issa,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,157,10000
Hana,ⵀⴰⵏⴰ Hana,HanaeEster,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,516,9200
Hana,SHANKI,ShankiAustine,Kairo ni kama hana ata stress,51,852,67000
Hana,min hana⁷,armys_hana7,Who caught your eye first in bts and who is your bias now?,905,2700,64000
Hana,hana,glarehana,#cihal: sen hiç sevgi görmedin mi? hiç ilgi görmedin mi? hiç mi sarıp sarmalamadılar seni?,11,429,8400
Hana,حنان عيسى 𓂆,hana_n_issa,"تعود للحياة .. زي غزة 
""ظنّوا استشهادها، فإذا بها تفتح عينيها""
فرحة طواقم الدفاع المدني بإنقاذ طفلة من تحت ركام منزل قصفه الاحتلال بمدينة غزة

#مقاطعه_الكافيهات__المشهوره #نادر_شوقي_عدو_الاهلي  #عليا_الطلاق_ماابراهيم لوس انجلوس #وقف_اطلاق_النار عمان",4,157,10000
Hana,ⵀⴰⵏⴰ Hana,HanaeEster,"ⴰⵙⴳⴳⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵎⴱⴰⵔⴽⵉ 2975

#HappyAmazighNewYear2975",24,516,9200
Weapon,Jesse Lynn,jesseRoss597206,"And here we go again. They don't even care that we see it. Smh. Direct energy weapon, Emf frequencies zapping Michigan. 1/14/25. Radiation directly hurts our children, headaches, depression, cancer, mental illness, hair loss, flu like symptoms paired with aerosols and no sunshine",0,6,24
Weapon,Daniel Wade,dantalkssports,The Charger do have 1 weapon for sure.,21,253,12000
Weapon,ADHDDude A-Grade SEND Education Rights Weapon,DudeAdhd,This is typical fare for neurodiversity advocates when it comes to #ADHD. Another bad take about #ADHD. It is insulting.,4,25,805
Weapon,The Tank,TheTankGuns,Another arsonist video making the rounds. I think the psyops the government is doing trying to get the focus on arsonist instead of their direct energy weapon.,180,4200,469000
